Arsenal,阿仙奴,阿森纳
Birmingham City,伯明翰,伯明翰
Bolton,保顿,博尔顿
Chelsea,车路士,切尔西
Everton,爱华顿,埃弗顿
Liverpool,利物浦,利物浦
Manchester United,曼联,曼联
Newcastle United,纽卡素,纽卡斯尔联
Portsmouth,朴茨茅夫,朴茨茅斯
Tottenham Hotspur,热刺,托特纳姆热刺
AC Milan,AC米兰,AC米兰
Bologna,博洛尼亚,博洛尼亚
Cagliari,卡利亚里,卡利亚里
Fiorentina,费伦天拿,佛罗伦萨
Juventus,祖云达斯,尤文图斯
Lecce,萊切,莱切
Messina,麦斯纳,梅西纳
Parma,帕尔马,帕尔马
Roma,罗马,罗马
Siera,锡耶纳,锡耶纳
Albacete,阿尔巴塞特,阿尔巴塞特
Atletico Madrid,马德里体育会,马德里竞技
Deportivo La Coruna,拉科鲁尼亚,拉科鲁尼亚
Espanyol,爱斯宾奴,西班牙人
Malaga,马拉加,马拉加
Numancia,纽文西亚,努曼西亚
Racing Santander,桑坦德,桑坦德竞技
Real Madrid,皇家马德里,皇家马德里
Sevilla,西维尔,塞维利亚
Villarreal,维拉里尔,比利亚雷亚尔
Arminia Bielefeld,比勒费尔德,比勒菲尔德
Bochum,波琴,波鸿
Freiburg,费雷堡,弗赖堡
Hannover 96,汉诺威,汉诺威96
Hertha BSC,哈化柏林,柏林赫塔
Leverkusen,利华古逊,勒沃库森
Monchengladbach,慕逊加柏,门兴格拉德巴赫
Schalke 04,史浩克零四,沙尔克04
Werder Bremen,云达不莱梅,云达不来梅
Ajaccio,阿些斯奧,阿雅克肖
Bastia,巴斯蒂亚,巴斯蒂亚
Caen,卡昂,卡昂(冈)
Lille,利尔,里尔
Marseille,马赛,马赛
Monaco,摩纳哥,摩纳哥
Nice,奈斯,尼斯
Rennes,雷恩,雷恩
Sochaux,索察,索肖
Toulouse,图鲁兹,图卢兹
Aberdeen,鸭巴甸,阿伯丁
Dundee United,登地联,邓迪联
Glasgow Celtic,些路迪,凯尔特人
Hearts,赫斯,哈茨
Kilmarnock,基马诺克,基尔马诺克
Motherwell,马瑟韦尔,马瑟威尔
Brighton & Hove A.,白礼顿,布莱顿
Cardiff C.,卡迪夫城,卡迪夫城
Crewe Alexandra,克鲁,克鲁
Gillingham,基宁咸,吉林汉姆
Leeds U.,列斯联,利兹
Millwall,米禾尔,米尔沃尔
Plymouth Argyle,普利茅夫,普利茅斯
Queens Park R.,昆士柏流浪,女王公园巡游者
Rotherham U.,洛达咸,罗瑟汉姆联
Stoke C.,史笃城,斯托克城
Watford,屈福特,沃特福德
Wigan Athletic,韦根,维甘
Barnsley,班士利,巴恩斯利
Bournemouth,般尼茅夫,伯恩茅斯
Brentford,宾福特,布伦特福德
Chesterfield,车士打菲特,切斯特菲尔德
Doncaster R.,唐卡士打,唐卡斯特
Huddersfield T.,哈德斯菲尔德,赫德斯菲尔德
Luton T.,卢顿,卢顿
Peterborough U.,彼德堡,彼得堡联队
Sheffield W.,锡周三,谢周三
Swindon T.,史云顿,斯温顿
Tranmere R.,燦美尔,特兰米尔
Wimbledon,温布顿,温布尔顿
Ahlen,艾伦,阿伦
Burghausen,贝豪森,博格豪森
Dynamo Dresden,特雷斯登,德累斯顿
Eintracht Frankfurt,法兰克福,法兰克福
Energie Cottbus,科特布斯,科特布斯
Greuther Furth,格雷特霍夫,菲尔特
Koln,科隆,科隆
RW Erfurt,洛特维博菲,埃尔福特
Saarbrucken,赛瑞贝肯,萨尔布吕肯
Albinoleffe,艾宾奴列夫,阿尔比诺莱费
Ascoli,阿斯科利,阿斯科利
Catania,卡坦尼亚,卡塔尼亚
Cesena,切辛纳,切塞纳
Empoli,恩波里,恩波利
Modena,摩德纳,摩德纳
Pescara,比斯卡拉,佩斯卡拉
Salernitana,沙兰力坦拿,萨勒尼塔纳
Torino,拖连奴,都灵
Triestina,泰利斯天拿,特里埃斯蒂纳
Verona,维罗纳,维罗纳
Almeria,艾美利亚,阿尔梅里亚
Celta de Vigo,切尔达,维哥塞尔塔
Cordoba,科尔多瓦,科尔多瓦
Elche,艾尔切,埃尔切
Lleida,利尔达,莱里达
Nastic,塔拉哥納,托雷拉贝加体育
Pontevedra,邦特韦德拉,庞特贝德拉
Real Murcia,梅西亚,穆尔西亚
Salamanca,沙拉曼卡,萨拉曼卡
Tenerife,特內里费,特内里费
Valladolid,华拉度列,瓦拉杜利德
Academica,科英布拉大学,科因布拉大学
Belenenses,比兰伦斯,贝兰嫩塞
Boavista,博维斯塔,博阿维斯塔
Estoril,伊斯托里尔,埃斯托里尔
Guimaraes,甘马雷斯,吉马良斯
Moreirense,摩里伦斯,莫里伦斯
Penafiel,彭拿费尔,佩纳费尔
Rio Ave,里奧阿维,里奥阿维
Uniao Leiria,利亚拿,莱里亚
Ajax,阿积士,阿贾克斯
Breda,比达,布雷达
FC Den Bosch,丹博斯治,邓伯什
Feyenoord,飞燕诺,费耶诺德
Heerenveen,海伦维恩,海伦芬
PSV Eindhoven,PSV燕豪芬,PSV埃因霍温
Roosendaal,罗辛达,罗森达
Utrecht,乌德勒支,乌德勒支
Waalwijk RKC,RKC华域克,RKC
AA Gent,真特,根特
Beveren,比华伦,贝华伦
FC Brussels,布鲁塞尔,布鲁塞尔
Charleroi,查內尔,查内尔
Germinal Beerschot,比斯查,比斯查
Lierse,利亚斯,利亚斯
Mons-Bergen,蒙斯,蒙斯
Oostende,奧斯坦德,奥斯坦德
Standard Liege,标准列治,标准列日
Fredrikstad,费德列斯达,腓德烈斯达
Brann Bergen,白兰恩,布莱尼
Lillestrom,利尼史特朗,利勒斯特罗姆
Molde,莫迪,莫尔德
Rosenborg,洛辛堡,罗森博格
Stabaek,史达比克,斯达布克
Valerenga,华拿伦加,瓦勒伦加
AIK Stockholm,AIK苏纳,AIK斯托克汉姆
Elfsborg,艾夫斯堡,埃尔夫斯堡
Hammarby,哈马比,哈马尔比
Helsingborg,希尔星堡,赫尔辛堡
Landskrona,兰斯干拿,兰斯科罗那
Orebro,奧雷布洛,奥雷布洛
Trelleborg,特利堡,特利堡
Allianss,阿里安斯,阿里安斯
Hameenlinna,咸美恩连拿,汉米林纳
Inter Turku,英特杜古,国际图尔库
Jazz Pori,谢斯波利,波里爵士
Lahti,拉迪,拉哈迪
Rovaniemi,路云尼米,洛瓦尼米
TP-47,TP-47,TP-47
AaB Aalborg,阿尔堡,奥尔堡
FC Copenhagen,哥本哈根,哥本哈根
Herfolge BK,靴尔科治,赫尔弗格
Esbjerg,艾斯堡,艾斯堡
AGF Aarhus,阿晓斯,奥胡斯
OB Odense,奧丹斯,奧丹斯
Servette,塞维特,塞尔维特
Young Boys Bern,年青人,伯尔尼青年
Aarau,阿劳,阿劳
Thun,杜安,图恩
Neuchatel Xamax,纳沙泰尔,纳沙泰尔
SV Salzburg,萨尔斯堡,萨尔茨堡
SV Pasching,苏柏芬特,帕兴
Austria Vienna,奧地利维也纳,维也纳奥地利人
Graz AK,格拉茨AK,格拉茨AK
Rapid Vienna,维也纳迅速,维也纳迅速
Chicago Fire,芝加哥火焰,芝加哥火焰
Columbus Metro Stars,哥伦布机员,哥伦布水手
D.C. Unite,华盛顿联队,华盛顿联队
Los Angeles Galaxy,洛杉矶银河,洛杉矶银河
New England Revolution,新英伦革命,新英格兰革命
Albirex Niigata,新泻天鵝,新泻天鹅
Gamba Osaka,大阪飞脚,大阪飞脚
Kashiwa Reysol,柏雷素尔,柏雷素尔
Otia Trinita,大分三神,大分三神
Yokohama F.Marinos,橫滨水手,横滨水手
Vissel Kobe,神户胜利船,神户胜利船
Tokyo Verdy,东京日视,东京日视
Urawa Red Diamond,浦和红钻,浦和红钻
Almagro,阿尔马格罗,阿马格罗
Arsenal de Sarandi,萨伦迪,阿森纳
Boca Juniors,小保加,博卡青年
Club Olimpo,奧林波,奥里姆普
Gimnasia y Esgrima La Plata,拉普拉塔体操,格纳斯亚
Instituto,联合队,因斯蒂图托
Lanus,拉努斯,拉努斯
Quilmes,奎梅斯,奎梅斯
Rosario Central,罗萨里奥中央,罗萨里奥中央
San Lorenzo,圣罗伦佐,桑洛伦佐
fenerbahce,费伦巴治,费内巴切
galatasaray,加拉塔沙雷,加拉塔萨雷
Besiktas JK,比锡达斯,贝西克塔斯
Malatyaspor,马拉蒂亚士邦,马拉蒂亚
Genclerbirligi,真格拿拜列治,根克勒比利吉
Samsunspor,萨姆松珀,萨姆桑
Diyarbakirspor,迪亚比克士邦,迪亚巴基尔
Sakaryaspor Adapazari,沙卡亚士邦,萨卡亚
Kayserispor,基锡里士邦,凯瑟里
Aston Villa,阿士东维拉,阿斯顿维拉
Blackburn Rovers,布力般流浪,布莱克本
Charlton Athletic,查尔顿,查尔顿
Crystal Palace,水晶宮,水晶宫
Fulham,富咸,富勒姆
Manchester City,曼城,曼城
Middlesbrough,米杜士堡,米德尔斯堡
Norwich City,诺域治,诺维奇
Southampton,修咸顿,南安普顿
West Bromwich Albion,西布朗,西布罗姆维奇
Atalanta,阿特兰大,亚特兰大
Brescia,布雷西亚,布雷西亚
Chievo,切禾,切沃
Inter Milan,国际米兰,国际米兰
Lazio,拉素,拉齐奥
Livorno,利禾奴,利沃诺
Palermo,巴勒莫,帕勒莫
Reggina,里贾纳,雷吉纳
Sampdoria,森多利亚,桑普多利亚
Udinese,乌甸尼斯,乌迪内斯
Athletic Bilbao,毕尔包,毕尔巴鄂竞技
Barcelona,巴塞隆拿,巴塞罗那
Getafe,加泰,加泰(赫塔菲)
Levante,利云特,勒万特
Mallorca,马略卡,马洛卡
Osasuna,奧沙辛拿,奥萨苏纳
Real Betis,贝迪斯,皇家贝蒂斯
Real Sociedad,皇家苏斯达,皇家社会
Valencia,巴伦西亚,瓦伦西亚
Zaragoza,萨拉戈萨,萨拉格萨
Bayern Munchen,拜仁慕尼黑,拜仁慕尼黑
Borussia Dortmund,多蒙特,多特蒙德
Hamburger SV,汉堡,汉堡
Hansa Rostock,罗斯托克,罗斯托克
Kaiserslautern,凯沙罗顿,凯泽斯劳滕
Mainz,缅恩斯,美因茨05
Nurnberg,纽伦堡,纽伦堡
Stuttgart,史特加,斯图加特
Wolfsburg,沃尔夫斯堡,沃尔夫斯堡
Auxerre,欧塞尔,欧塞尔
Bordeaux,波尔多,波尔多
Lens,朗斯,朗斯
Lyonnais,里昂,里昂
Metz,梅斯,梅斯
Nantes,南特,南特
Paris S.G.,巴黎圣日门,巴黎圣日耳曼
Saint-Etienne,圣伊天,圣艾蒂安
Strasbourg,史特拉斯堡,斯特拉斯堡
Istres,伊斯特尔,伊斯特
Dundee,登地,邓迪
Dunfermline,邓弗姆林,邓弗姆林
Glasgow Rangers,格拉斯哥流浪,格拉斯哥流浪者
Hibernian,喜百年,希伯尼安
Livingston,利云斯頓,利文斯顿
Inverness,伊凡尼斯,恩华利斯
Burnley,般尼,伯恩利
Coventry C.,高云地利,考文垂
Derby County,打比郡,德比郡
Ipswich T.,叶士域治,伊普斯维奇
Leicester C.,李斯特城,莱切斯特
Nottingham F.,诺定咸森林,诺丁汉森林
Preston North End,普雷斯顿,普雷斯顿
Reading,雷丁,雷丁
Sheffield U,锡菲联,谢菲尔德联
Sunderland,新特兰,桑德兰
West Ham U.,韦斯咸,西汉姆
Wolverhampton W.,狼队,狼队
Blackpool,黑池,布莱克浦
Bradford C.,巴拉福特,布拉德福德
Bristol C.,布里斯托港,布里斯托尔
Colchester U.,高车士打,柯彻斯特
Hartlepool U.,哈特尔浦,哈特利普
Hull C.,候城,赫尔城
Oldham Athletic,奧咸,奥尔德姆
Port Vale,维尔港,维尔港
Stockport County,史托港,斯托克波特
Torquay U.,托基联,托奇联队
Walsall,华素尔,沃尔索尔
Wrexham,域斯咸,雷克瑟姆
Alemannia Aachen,亚琛,亚琛
Duisburg,杜伊斯堡,杜伊斯堡
Munich 1860,慕尼黑1860,慕尼黑1860
Eintracht Trier,特里尔,特里尔
Erzgebirge Aue,艾斯基比治,艾尔格博格
Karlsruhe,卡斯鲁厄,卡尔斯鲁厄
Oberhausen,奧柏侯逊,奥伯豪森
RW Essen,埃森,埃森
Unterhaching,安达赫治,翁特哈兴
Arezzo,阿雷素,阿雷佐
Bari,巴里,巴里
Catanzaro,卡坦萨罗,卡塔萨罗
Crotone,克罗托內,克罗托内
Genoa,热拿亚,热那亚
Perugia,佩鲁贾,佩鲁贾
Piacenza,皮亚琴察,皮亚琴察
Ternana,特拉纳,特拉纳
Treviso,泰列维素,特雷维素
Venezia,威尼斯,威尼斯
Vicenza,维琴察,维琴察
Cadiz,卡迪斯,卡迪斯
Ciudad de Murcia,梅西亚城,穆尔西亚城
Deportivo Alaves,艾拉维斯,阿拉维斯
Eibar,伊巴,埃尔巴
Malaga B,马拉加Ｂ队,马拉加二队
Poli.Ejido,艾积多,埃西多
Racing Ferrol,费路尔,费罗尔竞技
Recreativo de Huelva,维尔瓦,乌尔瓦
Sporting Gijon,希杭,希洪竞技
Terrassa,泰拿沙,特拉萨
Xerez,萨雷斯,赫雷斯
Beira Mar,比拉马,贝拉马
Benfica,宾菲加,本菲卡
Braga,布拉加,布拉加
Gil Vicente,基维辛迪,基维森特
Maritimo,马里迪莫,马尔蒂默
Nacional,国民队,民族队
Porto,波图,波尔图
Sporting Lisbon,士砵亭,里斯本竞技
Vitoria Setubal,塞图巴尔,塞图巴尔
Alkmaar,艾克马尔,阿尔克马尔
De Graafschap,迪加史卓普,格拉夫夏普
Den Haag,海牙,ADO海牙
Groningen,高宁根,格罗宁根
NEC Nijmegen,NEC尼美根,NEC尼美根
Roda,洛达,罗达JC
Twente,川迪,特文特
Vitesse,维迪斯,维特斯
Willem II,威廉二世,威廉二世
Anderlecht,安德列治,安德莱赫特
Club Brugge,布鲁日,布鲁日
Cercle Brugge,色格拉布鲁日,色格拉布鲁日
Racing Genk,亨克,根克
La Louviere,拉路维尔,拉路维尔
Lokeren,洛格伦,洛克伦
Mouscron,苗斯干,穆斯克隆
Sint Truiden,圣图尔登,圣图尔顿
Westerlo,韦斯达路,维斯特罗
Bodo Glimt,波杜基林特,博多格林特
Ham-Kam,咸卡姆,哈姆卡姆
Lyn Oslo,利恩,奥斯陆
Odd Grenland,奧特格宁兰,奥多格伦兰
Sogndal,桑恩达,索格恩达尔
Tromso,特罗素,特隆索
Viking,维京,维京
Djurgarden,佐加顿斯,尤尔加登
Kalmar FF,卡马亚,卡尔马
Halmstads,咸史泰斯,哈尔姆斯达斯
Gothenburg,哥登堡,哥德堡
Malmo,马模,马尔默
Orgryte,奧基迪,奥格列特
Sundsvall,辛斯华兰,桑斯瓦尔
Haka,夏卡,哈卡
HJK Helsinki,赫尔辛基,哈美林纳
Jaro,查路,杰罗
Kooteepee,古迪比,古迪比
MyPa,迈柏,米帕
Tampere United,谭柏利,坦佩尔联队
TPS Turku,TPS杜古,TPS图尔库
Silkeborg,施克堡,斯克堡
Midtjylland,米迪兰特,米迪兰德
Viborg,域堡,维堡
FC Nordsjaelland,洛斯查兰特,北西兰
Brondby,邦比,布隆德比
Randers,兰达斯,兰达斯
St.Gallen,圣加仑,圣加仑
Zurich,苏黎世,苏黎世
Basel,巴素利,巴塞尔
Grasshoppers,草蜢,草蜢
Schaffhausen FC,沙夫豪森,史查福豪森
Sturm Graz,格拉茨,格拉茨飓风
Admira Wacker,艾特米拿,阿德米拉
Bregenz,布雷根茨,布雷根茨
Wacker Tirol,华卡迪路,瓦克蒂洛
Mattersburg,马特斯堡,马特斯堡
Colorado Rapids,科罗拉多急流,科罗拉多快速
Dallas Burn,达拉斯燃烧,达拉斯燃烧
Kansas City Wizards,肯萨斯巫师,堪萨斯巫师
Metro Stars Crew,纽约大都 会,纽约地铁明星
San Jose Earthquakes,圣荷西地震,圣何塞地震
Cerezo Osaka,大阪櫻花,大阪櫻花
Kashima Antlers,鹿岛鹿角,鹿岛鹿角
Nagoya Grampus Eight,名古屋八鲸,名古屋八鲸
Shimizu S-Pulse,清水心跳,清水脉冲
Jubilo Iwata,磐田山叶,磐田山叶
Sanfrecce Hiroshima,广岛三箭,广岛三箭
FC Tokyo,FC东京,FC东京
JEF United Ichihara,古河市原,古河市原
Argentinos Juniors,阿根廷青年队,阿根廷青年人
Banfield,班菲尔德,巴恩费德
Colon de Santa Fe,科隆队,科隆
Estudiantes La Plata,拉普拉塔大学生,埃斯图蒂特斯
Huracan,乌拉坎,胡拉肯
Independiente Avellaneda,独立队,独立
Newell's Old Boys,纽维尔旧生,纽维尔男孩
Racing de Avellaneda,竞技,竞技
River Plate,河床,河床
Velez Sarsfield,萨斯菲尔德,萨斯菲尔德
trabzonspor,特拉布宗斯普尔,特拉布宗
denizlispor,丹尼斯尼士邦,德尼兹利
Rizespor,里泽斯堡,里泽士邦
Gaziantepspor,加辛塔士邦,加济安泰
Konyaspor,干亚士邦,康亚
Ankaraspor,BB 安卡拉士邦,安卡拉
Ankaragucu,安卡华高古,安卡拉古库
Istanbulspor,伊斯坦堡士邦,伊斯坦布尔
Akcaaba Sebatspor,锡巴特士邦,塞巴特
